SalePrice,BsmtQual,PoolQC,YearBuilt,OverallQual,GrLivArea,GarageCars
115000,2,0,1927,5,1028,2
228000,3,0,1993,7,2097,3
181134,3,0,2007,7,1340,2
149500,2,0,1978,6,1400,2
239000,3,0,1918,6,2624,3
126000,2,0,1940,5,1134,1
142000,2,0,1968,5,1056,1
206300,3,0,1997,7,1344,4
215000,3,0,1977,6,1602,2
113000,2,0,1954,5,988,2
315000,3,0,1998,8,2630,3
139000,3,0,1956,6,1196,1
135000,2,0,1946,7,1389,1
275000,3,0,1989,7,1644,2
109008,2,0,1957,4,907,1
195400,3,0,2007,7,1208,2
175000,3,0,1988,6,1412,2
85400,2,0,1971,6,987,1
79900,2,0,1920,6,1198,0
122500,2,0,1971,5,1365,2
181000,3,0,1997,6,1604,2
81000,3,0,1972,4,630,0
212000,3,0,1996,7,1661,2
116000,1,0,1920,6,1118,2
119000,2,0,1926,6,904,1
90350,2,0,1913,5,694,1
110000,2,0,1920,6,1196,2
555000,4,0,2008,10,2402,3
118000,2,0,1955,4,1440,0
162900,2,0,1930,5,1573,2
172500,4,0,2006,7,1258,3
210000,3,0,1994,7,1908,2
127500,2,0,1956,6,1689,2
190000,2,0,1966,6,1888,2
199900,3,0,1998,7,1886,2
119500,2,0,1937,6,1376,1
120000,2,0,1948,3,1183,1
110000,2,0,1930,6,813,1
280000,3,0,1975,7,1533,2
204000,4,0,1996,6,1756,2
210000,3,0,2008,8,1590,2
188000,2,0,1976,5,1728,2
175500,2,0,1973,7,1242,2
98000,2,0,1916,5,1344,3
256000,3,0,1954,4,1663,2
161000,2,0,1925,8,1666,1
110000,2,0,1950,5,1203,1
263435,3,0,2009,8,1935,2
155000,3,0,1936,7,1135,2
62383,2,0,1965,5,864,1
188700,2,0,1934,6,1660,1
124000,3,0,1978,5,1040,0
178740,3,0,2004,7,1414,2
167000,2,0,1970,7,1277,2
146500,2,0,1942,5,1644,1
250000,3,0,2006,8,1634,3
187000,3,0,1993,6,1710,2
212000,3,0,1985,8,1502,2
190000,3,0,1977,7,1969,2
148000,3,0,2005,6,1072,2
440000,4,0,2006,8,1976,3
251000,3,0,2000,8,1652,2
132500,2,0,1963,5,970,2
208900,3,0,1997,6,1493,2
380000,3,0,2006,9,2643,3
297000,4,0,2007,8,1718,3
89471,1,0,1937,4,1131,2
326000,4,0,2004,9,1850,3
374000,4,0,2003,9,1792,3
155000,2,0,1915,7,1826,1
164000,4,0,1998,6,1216,2
132500,2,0,1962,5,999,1
147000,2,0,1950,5,1113,1
156000,2,0,1965,5,1073,2
175000,3,0,1971,5,1484,2
160000,2,0,1900,5,2414,2
86000,3,0,1970,4,630,1
115000,3,0,1976,5,1304,1
133000,2,0,1941,6,1578,1
172785,3,0,2006,6,1456,2
155000,2,0,1960,5,1269,1
91300,1,0,1938,5,886,1
34900,2,0,1920,4,720,0
430000,3,0,1992,8,3228,2
184000,2,0,1925,7,1820,1
130000,2,0,1967,5,899,1
120000,2,0,1958,5,912,1
113000,2,0,1973,6,1218,1
226700,3,0,2005,7,1768,2
140000,2,0,1965,5,1214,2
289000,2,0,1959,7,1801,2
147000,2,0,1974,6,1322,2
124500,2,0,1952,5,1960,2
215000,3,0,1993,8,1911,2
208300,3,0,2009,6,1218,2
161000,2,0,1928,7,1378,2
124500,2,0,1959,5,1041,1
164900,2,0,1951,5,1363,1
202665,3,0,2005,7,1368,2
129900,2,0,1958,5,864,2
134000,2,0,1983,6,1080,2
96500,2,0,1926,5,789,1
402861,4,0,2009,10,2020,3
158000,2,0,1972,6,2119,2
265000,3,0,1996,7,2344,3
211000,3,0,1998,6,1796,2
234000,3,0,1926,7,2080,1
106250,0,0,1900,4,1294,0
150000,2,0,1957,6,1244,1
159000,2,0,1947,6,1664,2
184750,4,0,2007,10,4676,3
315750,3,0,1996,7,2398,3
176000,3,0,2005,7,1266,2
132000,3,0,1956,5,928,1
446261,4,0,2008,9,2713,3
86000,2,0,1920,4,605,0
200624,2,0,1957,6,2515,2
175000,3,0,1988,6,1509,2
128000,1,0,1920,6,1362,2
107500,0,0,1955,5,827,1
39300,0,0,1946,1,334,0
178000,4,0,2004,8,1414,2
107500,3,0,1910,5,1347,0
188000,3,0,1998,7,1724,2
111250,2,0,1972,4,864,2
158000,2,0,1968,5,1159,1
272000,3,0,2001,8,1601,2
315000,4,0,2006,9,1838,3
248000,3,0,2000,8,2285,3
213250,4,0,1998,7,1680,2
133000,3,0,1998,7,767,1
179665,3,0,2006,7,1496,2
229000,3,0,1988,7,2183,3
210000,3,0,1923,6,1635,2
129500,3,0,1970,5,768,2
125000,2,0,1955,5,825,2
263000,3,0,2003,7,2094,2
140000,3,0,1977,6,1069,2
112500,2,0,1957,5,928,1
255500,4,0,2006,8,1717,3
108000,0,0,1949,4,1126,2
284000,3,0,2003,7,2046,3
113000,2,0,1922,5,1048,1
141000,2,0,1957,5,1092,1
108000,2,0,1920,4,1336,1
175000,3,0,1996,7,1446,2
234000,3,0,2003,7,1557,2
121500,3,0,1957,5,1392,2
170000,3,0,1974,5,1389,2
108000,2,0,1940,5,996,0
185000,3,0,1918,6,1674,2
268000,3,0,1992,7,2295,2
128000,3,0,1915,6,1647,1
325000,3,0,2005,9,2504,3
214000,3,0,2004,7,1535,2
316600,3,0,1983,8,2132,2
135960,3,0,1979,5,943,2
142600,2,0,1965,5,1728,2
120000,2,0,1959,6,864,1
224500,4,0,2009,7,1692,2
170000,3,0,2000,7,1430,2
139000,2,0,1971,5,1109,1
118500,2,0,1947,5,1216,1
145000,2,0,1928,7,1477,1
164500,2,0,1966,5,1320,2
146000,3,0,2007,7,1392,2
131500,2,0,1954,5,1795,1
181900,2,0,1960,6,1429,2
253293,4,0,2008,8,2042,3
118500,3,0,1990,6,816,0
325000,2,0,1893,10,2775,2
133000,2,0,1935,4,1573,1
369900,4,0,2005,8,2028,3
130000,2,0,1918,6,838,1
137000,2,0,1982,5,860,2
143000,2,0,1968,5,1473,1
79500,2,0,1930,5,935,1
185900,3,0,2004,7,1582,2
451950,4,0,2008,10,2296,3
138000,2,0,1982,5,816,2
140000,3,0,2003,6,848,2
110000,3,0,1975,5,924,1
319000,3,0,2005,8,1826,3
114504,2,0,1910,6,1368,1
194201,4,0,2006,7,1402,3
217500,3,0,1977,5,1647,2
151000,3,0,1980,6,1556,2
275000,3,0,2005,8,1904,2
141000,2,0,1937,6,1375,1
220000,3,0,1992,8,1915,2
151000,3,0,2004,7,1200,2
221000,3,0,2002,7,1494,2
205000,2,0,1965,7,1986,2
152000,3,0,1996,5,1040,2
225000,2,0,1948,5,2008,1
359100,3,0,1934,8,3194,2
118500,2,0,1961,4,1029,1
313000,4,0,2000,9,2153,3
148000,3,0,1978,6,1032,2
261500,3,0,2001,8,1872,2
147000,3,0,2007,5,1120,0
75500,3,0,1972,4,630,0
137500,2,0,1963,6,1054,2
183200,3,0,2002,6,1509,2
105500,2,0,1954,6,832,2
314813,4,0,2007,9,1828,3
305000,3,0,2003,8,2262,3
67000,2,0,1914,3,864,0
240000,2,0,1974,6,2614,2
135000,2,0,1977,5,980,2
168500,3,0,2000,6,1512,2
165150,2,0,1972,6,1790,2
160000,2,0,1962,6,1116,2
139900,2,0,1960,5,1422,1
153000,2,0,1955,6,1520,1
135000,3,0,1969,5,2080,2
168500,2,0,1964,6,1350,2
124000,1,0,1880,5,1750,1
209500,3,0,2006,8,1554,2
82500,2,0,1977,7,1411,2
139400,2,0,1954,5,1056,1
144000,2,0,1980,6,1056,2
200000,2,0,1914,6,3395,0
60000,2,0,1936,2,800,0
93000,2,0,1954,5,1387,1
85000,1,0,1910,5,796,0
264561,3,0,2006,8,1567,3
274000,4,0,2003,8,1518,2
226000,3,0,2001,7,1929,2
345000,3,0,1972,8,2704,2
152000,2,0,1969,5,1620,2
370878,4,0,2009,9,1766,3
143250,2,0,1971,6,981,2
98300,0,0,1950,5,1048,2
155000,2,0,1953,6,1094,2
155000,2,0,1966,6,1839,2
84500,3,0,1970,4,630,0
205950,3,0,2007,7,1665,2
108000,2,0,1940,4,1510,1
191000,3,0,1996,7,1716,2
135000,2,0,1906,6,1469,1
350000,3,0,1995,8,2113,3
88000,2,0,1971,6,1092,1
145500,2,0,1959,5,1053,1
149000,3,0,1931,7,1502,1
97500,2,0,1948,6,1458,1
167000,2,0,1964,5,1486,2
197900,3,0,1976,7,1935,2
402000,3,0,1994,8,2448,3
110000,1,0,1968,6,1392,2
137500,3,0,1972,4,1181,2
423000,4,0,2005,8,2097,3
230500,3,0,2000,8,1936,2
129000,3,0,1965,6,2380,2
193500,3,0,1994,6,1679,2
168000,2,0,1956,5,1437,2
137500,1,0,1922,4,1180,1
173500,3,0,2005,6,1476,2
103600,2,0,1925,6,1369,1
165000,3,0,1977,6,1208,2
257500,2,0,1957,6,1839,2
140000,2,0,1965,6,1136,1
148500,2,0,1978,6,1441,2
87000,2,0,1900,4,1774,3
109500,2,0,1924,5,792,1
372500,4,0,2008,8,2046,3
128500,2,0,1961,5,988,2
143000,3,0,1980,6,923,1
159434,2,0,1932,5,1520,1
173000,3,0,1996,6,1291,2
285000,3,0,2002,9,1668,3
221000,3,0,1998,7,1839,2
207500,3,0,1984,7,2090,2
227875,3,0,2007,7,1761,2
148800,3,0,2004,7,1102,2
392000,3,0,2007,8,1419,2
194700,3,0,2005,6,1362,2
141000,3,0,2004,6,848,2
755000,4,0,1994,10,4316,3
335000,3,0,1989,7,2519,2
108480,2,0,1921,5,1073,1
141500,2,0,1936,5,1539,2
176000,3,0,1987,6,1137,2
89000,2,0,1921,5,616,1
123500,4,0,1952,5,1148,1
138500,2,0,1965,5,894,1
196000,3,0,2004,7,1391,2
312500,4,0,2002,8,1800,3
140000,2,0,1969,7,1164,2
361919,4,0,2006,8,2576,3
140000,3,0,1900,5,1812,2
213000,3,0,2004,7,1484,2
55000,0,0,1930,4,1092,0
302000,3,0,1971,7,1824,2
254000,3,0,2006,8,1324,2
179540,3,0,2007,7,1456,2
109900,2,0,1966,5,904,1
52000,2,0,1935,3,729,0
102776,2,0,1900,4,1178,1
189000,3,0,1988,8,1228,2
129000,2,0,1970,4,960,2
130500,2,0,1976,6,1479,2
165000,3,0,1974,6,1350,2
159500,2,0,1890,7,2554,2
157000,3,0,1973,5,1178,2
341000,3,0,1993,7,2418,3
128500,3,0,1969,5,971,1
275000,3,0,1985,8,1742,2
143000,3,0,2004,6,848,2
124500,2,0,1970,4,864,2
135000,2,0,1954,4,1470,1
320000,4,0,2007,9,1698,3
120500,2,0,1970,4,864,2
222000,3,0,1988,6,1680,2
194500,3,0,2007,7,1232,2
110000,2,0,1958,5,1776,3
103000,2,0,1925,4,1208,2
236500,3,0,1995,8,1616,2
187500,4,0,2003,7,1146,2
222500,3,0,1998,7,2031,2
131400,2,0,1961,5,1144,1
108000,2,0,1968,5,948,1
163000,3,0,1914,7,1768,2
93500,0,0,1950,3,1040,2
239900,3,0,2005,8,1801,3
179000,3,0,1987,5,1200,0
190000,3,0,2004,7,1728,2
132000,1,0,1910,5,1432,2
142000,2,0,1961,6,912,1
179000,3,0,2000,7,1349,2
175000,3,0,1963,5,1464,2
180000,3,0,1993,8,1337,2
299800,2,0,1976,8,2715,2
236000,3,0,2000,7,2256,2
265979,2,0,1880,7,2640,4
260400,3,0,1996,7,1720,2
98000,0,0,1945,4,1529,1
96500,2,0,1910,4,1140,0
162000,3,0,2003,7,1320,2
217000,3,0,1997,6,1494,2
275500,3,0,2005,8,2098,3
156000,2,0,1969,6,1026,2
172500,3,0,1999,6,1471,2
212000,3,0,2007,8,1768,2
158900,2,0,1978,6,1386,2
179400,3,0,1999,7,1501,2
290000,3,0,1995,8,2531,3
127500,2,0,1959,6,864,1
100000,2,0,1924,5,1301,2
215200,3,0,2009,7,1547,2
337000,3,0,1999,8,2365,3
270000,3,0,1995,8,1494,2
264132,3,0,2008,9,1506,2
196500,3,0,1988,7,1714,2
160000,3,0,1940,6,1750,1
216837,3,0,2004,7,1836,2
538000,3,0,2003,8,3279,3
134900,3,0,1982,5,858,2
102000,1,0,1951,4,1220,2
107000,2,0,1976,6,1117,2
114500,2,0,1958,5,912,1
395000,3,0,2006,8,1973,3
162000,4,0,1998,6,1204,2
221500,3,0,2005,7,1614,3
142500,2,0,1974,5,894,2
144000,0,0,1977,5,2020,2
135000,3,0,1977,6,1004,2
176000,3,0,1995,7,1253,2
175900,3,0,1992,6,1603,2
187100,3,0,2001,7,1430,2
165500,3,0,1978,5,1110,2
128000,2,0,1914,6,1484,0
161500,2,0,1967,6,1342,2
139000,1,0,1915,5,1652,1
233000,3,0,2004,7,2084,2
107900,2,0,1954,4,901,1
187500,2,0,1966,6,2087,2
160200,3,0,2005,7,1145,2
146800,3,0,1976,6,1062,2
269790,3,0,1996,7,2013,2
225000,3,0,2007,8,1496,2
194500,3,0,1994,7,1895,2
171000,3,0,1980,6,1564,2
143500,2,0,1977,6,1285,2
110000,2,0,1953,5,773,1
485000,4,0,2008,9,3140,3
175000,3,0,1937,5,1768,1
200000,3,0,1997,6,1688,2
109900,2,0,1916,4,1196,2
189000,3,0,2005,7,1456,2
582933,4,0,2008,9,2822,3
118000,2,0,1954,5,1128,1
227680,3,0,2008,7,1428,2
135500,2,0,1967,5,980,1
223500,2,0,1923,5,1576,2
159950,2,0,1966,5,1086,2
106000,2,0,1898,5,2138,2
181000,2,1,1974,6,1309,2
144500,3,0,2004,6,848,2
55993,2,0,1952,5,1044,2
157900,2,0,1958,6,1442,1
116000,2,0,1918,5,1250,1
224900,3,0,1998,7,1661,2
137000,2,0,1954,5,1008,1
271000,3,0,2002,8,1689,3
155000,2,0,1971,6,1052,2
224000,3,0,2009,7,1358,2
183000,3,0,2003,7,1640,2
93000,1,0,1953,4,936,2
225000,3,0,2003,7,1733,2
139500,2,0,1940,6,1489,1
232600,3,0,2006,8,1489,2
